recto_texte,verso_texte,emoji,categorie
Antidouleur,いたみどめ(痛み止め),💊,Hors Genki
Diarrhée,げり(下痢),,Hors Genki
Mal de tête,ずつう(頭痛),,Hors Genki
Bandage,ほうたい(包帯),,Hors Genki
Comprimé,じょうざい(錠剤),,Hors Genki
Anti-moustique,むしよけ(虫よけ),,Hors Genki
Crème solaire,ひやけどめ(日焼け止め),,Hors Genki
Pansement,ばんそうこう(絆創膏),,Hors Genki
Timbre,きって(切手),✉️,Hors Genki
Colis,こづつみ(小包),✉️,Hors Genki
Boîte aux lettres,ゆうびんポスト(郵便ポスト),✉️,Hors Genki
Envoi express,そくたつ(速達),🚆,Hors Genki
Adresse,じゅうしょ(住所),,Hors Genki
Code postal,ゆうびんばんごう(郵便番号),,Hors Genki
Serviette humide,おしぼり,,Hors Genki
Commander,ちゅうもんする(注文する),,Hors Genki
À emporter,もちかえり(持ち帰り),👕,Hors Genki
Stand de rue,やたい(屋台),,Hors Genki
Recharger (batterie),じゅうでんする(充電する),📱,Hors Genki
Routeur Wi-Fi,むせんルーター(無線ルーター),,Hors Genki
Carte SIM,SIMカード,📱,Hors Genki
Téléphone portable,けいたい(携帯),📱,Hors Genki
Signal (réseau),じゅしんじょうたい(受信状態),,Hors Genki
Musée,はくぶつかん(博物館),⛩️,Hors Genki
Château,しろ(城),⛩️,Hors Genki
Office de tourisme,かんこうあんないじょ(観光案内所),⛩️,Hors Genki
Guide (livre),ガイドブック,,Hors Genki
Mairie,しやくしょ(市役所),,Hors Genki
Poste de police de quartier,こうばん(交番),✉️,Hors Genki
Caserne de pompiers,しょうぼうしょ(消防署),,Hors Genki
Cou,くび(首),,Hors Genki
Épaule,かた(肩),,Hors Genki
Bras,うで(腕),,Hors Genki
Dos,せなか(背中),,Hors Genki
Poitrine,むね(胸),,Hors Genki
Argent liquide,げんきん(現金),💴,Hors Genki
Carte de crédit,クレジットカード,💴,Hors Genki
Change (devises),りょうがえ(両替),💴,Hors Genki
Distributeur de billets (argent),ATM(えーてぃーえむ),🚆,Hors Genki
Au secours !,たすけて！,🏫,Hors Genki
Ambulance,きゅうきゅうしゃ(救急車),,Hors Genki
Police,けいさつ(警察),🚨,Hors Genki
Accident,じこ(事故),🚨,Hors Genki
Aéroport,くうこう(空港),✈️,Hors Genki
Cinéma,えいがかん(映画館),,Hors Genki
Pharmacie,やっきょく(薬局),💊,Hors Genki
Église,きょうかい(教会),,Hors Genki
Parking,ちゅうしゃじょう(駐車場),,Hors Genki
Dehors,そと(外),,Hors Genki
Corps,からだ(体),,Hors Genki
Tête,あたま(頭),,Hors Genki
"Cœur, esprit",こころ(心),,Hors Genki
"Son, bruit",おと(音),,Hors Genki
Force,ちから(力),,Hors Genki
"Nombre, quantité",かず(数),,Hors Genki
Dans le monde entier,せかいじゅう(世界中),,Hors Genki
"Boutique, magasin",みせ(店),,Hors Genki
Nom,なまえ(名前),,Hors Genki
Nécessaire,ひつよう(な)(必要),,Hors Genki
"Problème, question",もんだい(問題),,Hors Genki
Téléphone,でんわ(電話),📱,Hors Genki
Raison,りゆう(理由),,Hors Genki
Explication,せつめい(説明),,Hors Genki
Pour la première fois,はじめて(初めて),,Hors Genki
"Sentiment, sensation",きもち(気持ち),,Hors Genki
Fort,つよい(強い),,Hors Genki
Léger,かるい(軽い),,Hors Genki
Nombreux,おおい(多い),,Hors Genki
Beau (esthétique),うつくしい(美しい),,Hors Genki
Fille (de qqn),むすめ(娘),👪,Hors Genki
Rester,のこる(残る),,Hors Genki
"Être différent, se tromper",ちがう(違う),,Hors Genki
"Endroit, lieu",ばしょ(場所),,Hors Genki
"Divers, variés",いろいろ(な)(色々),,Hors Genki
Dangereux,きけん(な)(危険),🚨,Hors Genki
Chercher,さがす(探す),💴,Hors Genki
Escalier,かいだん(階段),,Hors Genki
"Interdit, mauvais",だめ(な),,Hors Genki
Réponse,へんじ(返事),,Hors Genki
Aider,たすける(助ける),,Hors Genki
Moitié,はんぶん(半分),,Hors Genki
Choisir,えらぶ(選ぶ),,Hors Genki
Désagréable ; non merci,いや(な)(嫌),,Hors Genki
"En chemin, en cours de route",とちゅう(途中),🏫,Hors Genki
Demander (un service),たのむ(頼む),,Hors Genki
Question,しつもん(質問),,Hors Genki
"ah !, oh !, hey!",ああ(嗚呼),,Hors Genki
saluer,あいさつする(挨拶する),,Hors Genki
"bleu (le), vert (le)",あお(青),🔵,Hors Genki
rouge (le),あか(赤),🔴,Hors Genki
clair,あかるい(明るい),,Hors Genki
s'ouvrir,あく(開く),,Hors Genki
donner,あげる(上げる),,Hors Genki
jeu,あそび(遊び),,Hors Genki
"ce côté-là, là-bas (poli)",あちら(彼方),,Hors Genki
"ce côté-là, là-bas (familier)",あっち(彼方),,Hors Genki
après,あと(後),,Hors Genki
"prendre une douche, prendre un bain, se dorer au",あびる(浴びる),,Hors Genki
dangereux,あぶない(危ない),🚨,Hors Genki
"excès, trop plein, surplus",あんまり・あま(余り),,Hors Genki
"plaisant, agréable, bien",いい・よい(良い),,Hors Genki
否 : non,いいえ、いえ,,Hors Genki
aller,いく・ゆく(行くs),,Hors Genki
combien ? (quantité),いくつ(幾つ),,Hors Genki
étang,いけ(池),,Hors Genki
"pierre, roc",いし(石),,Hors Genki
un jour,いちにち(一日),📅,Hors Genki
une semaine,いっしゅうかん(一週間),📅,Hors Genki
ensemble,いっしょ(一緒),,Hors Genki
maintenant,いま(今),,Hors Genki
"bienvenue (dans notre magasin, notre restaurant)",いらっしゃいま,🍽️,Hors Genki
entrée,いりぐち(入り口),,Hors Genki
"introduire, mettre dedans, insérer, préparer (du thé,",いれる(入れる),🥤,Hors Genki
"mince, pâle (pour une couleur)",うすい(薄い),,Hors Genki
chez soi,うちで(内で),,Hors Genki
naître,うまれる(生まれる),,Hors Genki
vendre,うる(売る),,Hors Genki
"manteau, veste",うわぎ(上着),,Hors Genki
"image, dessin",え(絵),,Hors Genki
"oui, en effet, c'est cela",ええ,,Hors Genki
crayon,えんぴつ(鉛筆),,Hors Genki
"être, arriver (poli)",おいでになる(お出でになる),,Hors Genki
foule,おおぜい(大勢),,Hors Genki
poser,おく(置く),,Hors Genki
épouse (d'un autre),おくさん(奥さん),,Hors Genki
"envoyer, expédier, accompagner une personne",おくる(送る),,Hors Genki
"portez-vous bien, prends soin de toi",おげんきで(お元気で),,Hors Genki
oncle (polie),おじさん(伯父さん・叔父さん),,Hors Genki
"pousser, presser",おす(押す),,Hors Genki
garçon,おとこのこ(男の子),,Hors Genki
avant-hier,おととい・いっ(一昨日),,Hors Genki
"l'année avant l'année dernière, il y a 2 ans",おととし・いっ(一昨年),📅,Hors Genki
"adulte, grande personne",おとな(大人),,Hors Genki
"identique, égal",おなじ(同じ),,Hors Genki
tante,おば(伯母・叔母),,Hors Genki
tante (polie),おばさん(伯母さん・叔母さん),,Hors Genki
bonjour (le matin),おはようござい(お早う御座います),🕐,Hors Genki
policier (désigné de manière amicale),おまわりさん(お巡りさん),,Hors Genki
"lourd, massif",おもい(重い),,Hors Genki
fille,おんなのこ(女の子),,Hors Genki
compteur pour le nombre de fois,かい(回),,Hors Genki
étranger,がいこくじん(外国人),,Hors Genki
clé,かぎ(鍵),,Hors Genki
"accrocher, porter (des lunettes...), appeler (au",かける(掛ける),💴,Hors Genki
prêter,かす(貸す),,Hors Genki
katakana (un des syllabaires japonais),かたかな(片仮名),,Hors Genki
mois de l'année,がつ(月),📅,Hors Genki
"famille (sa), maison (sa)",かてい(家庭),👪,Hors Genki
"coin (d'une rue, d'un trottoir…), rebord, bord",かど(角),,Hors Genki
épouse (la nôtre),かない(家内),,Hors Genki
"argent, monnaie",かね(金),💴,Hors Genki
vase,かびん(花瓶),,Hors Genki
épicé,からい(辛い),,Hors Genki
"arbre, bois (la matière)",き(木),,Hors Genki
"jaune (le, nom)",きいろ(黄色),,Hors Genki
jaune (adjectif),きいろい(黄色い),,Hors Genki
"disparaître, s'éteindre, s'effacer",きえる(消える),,Hors Genki
nord,きた(北),,Hors Genki
sale,きたない(汚い),,Hors Genki
salon de thé,きっさ(喫茶),🥤,Hors Genki
"salon de thé, café (lieux)",きっさてん(喫茶店),🥤,Hors Genki
viande de boeuf,ぎゅうにく(牛肉),,Hors Genki
aujourd'hui,きょう・こんに(今日),,Hors Genki
salle de classe,きょうしつ(教室),,Hors Genki
chaussettes,くつした(靴下),,Hors Genki
sombre,くらい(暗い),,Hors Genki
environ,くらい・ぐらい,,Hors Genki
noir (le),くろ(黒),⚫,Hors Genki
"bien, merveilleux",けっこう(結構),,Hors Genki
mariage,けっこん(結婚),,Hors Genki
"hall d'entrée, vestibule",げんかん(玄関),,Hors Genki
thé noir,こうちゃ(紅茶),🥤,Hors Genki
voix,こえ(声),,Hors Genki
mari (de quelqu'un) (polie),ごしゅじん(ご主人),,Hors Genki
répondre,こたえる(答える),,Hors Genki
merci pour ce repas (après avoir mangé),ごちそうさまで(ご馳走様でした),🍽️,Hors Genki
de même,こちらこそ,,Hors Genki
"mot, langage, phrase, parole",ことば(言葉),,Hors Genki
"être gêné, être embarrassé",こまる(困る),,Hors Genki
puis-je rentrer ? (dans la maison de quelqu'un,ごめんください(ご免下さい),,Hors Genki
vers (pour l'heure),ころ・ごろ,,Hors Genki
cette sorte de,こんな,,Hors Genki
ans (pour l'âge),さい(歳),,Hors Genki
poisson,さかな・うお(魚),,Hors Genki
"précédent, antérieur",さき(先),,Hors Genki
"fleurir, éclore",さく(咲く),,Hors Genki
"alcool, sake",さけ(酒),,Hors Genki
ouvrir (un parapluie),さす(差す),,Hors Genki
compteur pour les livres,さつ(冊),,Hors Genki
sucre,さとう(砂糖),,Hors Genki
au revoir,さよなら,,Hors Genki
assiette,さら(皿),,Hors Genki
dans deux ans,さらいねん(再来年),,Hors Genki
"promenade, balade",さんぽ(散歩),,Hors Genki
"heure (comme dans : 6h du matin, 18h…)",じ(時),🕐,Hors Genki
sel,しお(塩),,Hors Genki
"mais, cependant, pourtant, toutefois",しかし(併し),,Hors Genki
dictionnaire (courant),じしょ(辞書),,Hors Genki
poser une question,しつもんする(質問する),,Hors Genki
véhicule,じどうしゃ(自動車),,Hors Genki
mourir,しぬ(死ぬ),,Hors Genki
dictionnaire (vieilli),じびき(字引),,Hors Genki
"soi-même, elle-même, lui-même",じぶん(自分),,Hors Genki
se fermer,しまる(閉まる),,Hors Genki
写真を撮る : prendre une photo,しゃしんをとる,,Hors Genki
"bonne santé, forme",じょうぶ(丈夫),,Hors Genki
sauce soja,しょうゆ(醤油),,Hors Genki
"fumer, respirer, inhaler",すう(吸う),,Hors Genki
immédiatement,すぐに(直ぐに),,Hors Genki
un peu,すこし(少し),,Hors Genki
chaque,ずつ,,Hors Genki
taille (hauteur d'une personne),せい(背),,Hors Genki
élève,せいと(生徒),,Hors Genki
savon,せっけん(石鹸),,Hors Genki
costume d'affaire,せびろ(背広),,Hors Genki
lessive,せんたく(洗濯),,Hors Genki
"totalement, en entier",ぜんぶ(全部),,Hors Genki
"et ensuite, et après",そうして(然うして),,Hors Genki
divers,そのほか(その他),,Hors Genki
"proche de, à côté de",そば(側),,Hors Genki
ciel,そら(空),,Hors Genki
"dans ce cas, alors, donc",それでわ(其れでは),,Hors Genki
université,だいがく(大学),,Hors Genki
ambassade,たいしかん(大使館),,Hors Genki
"adorable, adoré",だいすき(大好き),,Hors Genki
important,たいせつ(大切),,Hors Genki
cuisine,だいどころ(台所),🍽️,Hors Genki
"sortir, partir",だす(出す),,Hors Genki
"marque du pluriel, suffixe pour le pluriel",たち(達),,Hors Genki
bâtiment,たてもの(建物),,Hors Genki
"cigarette, tabac",たばこ(煙草),🚆,Hors Genki
quelqu'un,だれか(誰か),,Hors Genki
"progressivement, petit à petit",だんだん(段々),,Hors Genki
"proche (en distance), près",ちかい(近い),,Hors Genki
"carte, plan",ちず(地図),,Hors Genki
marron clair,ちゃいろ(茶色),,Hors Genki
"bol à riz, tasse à thé",ちゃわん(茶碗),🥤,Hors Genki
pendant,ちゅう(中),,Hors Genki
"juste, exact",ちょうど(丁度),,Hors Genki
clair de lune,つきあかり(月明かり),,Hors Genki
"arriver, atteindre",つく(着く),,Hors Genki
"faire des efforts, s'appliquer, travailler",つとめる(努める),,Hors Genki
main,て(手),,Hors Genki
"être capable de faire, être fait",できる(出来る),,Hors Genki
sortie,でぐち(出口),,Hors Genki
"donc, alors, et bien",では,,Hors Genki
allumer la lumière,でんきをつける(電気を点ける),,Hors Genki
"il n'y a pas de quoi, de rien",どういたしまし(どう致しまして),,Hors Genki
animal,どうぶつ(動物),,Hors Genki
merci beaucoup,どうもありがと(どうも有難う御座います),,Hors Genki
"long, distant",とおい(遠い),,Hors Genki
quel côté ?,どちら(何方),,Hors Genki
"beaucoup, extrêmement",とても(迚も),,Hors Genki
qui ? (poli),どなた(何方),,Hors Genki
"voler, s'envoler, bondir",とぶ(飛ぶ・跳ぶ),,Hors Genki
"rester (au même endroit), stopper, s'arrêter,",とまる・とどま(止まる・留まる),,Hors Genki
"ami, compagnon",ともだち(友達),,Hors Genki
oiseau,とり(鳥),,Hors Genki
poulet,とりにく(鶏肉),,Hors Genki
"qui n'existe pas, qui n'est pas là, qui n'est pas",ない(無い),,Hors Genki
"chanter (oiseau), aboyer, miauler, grogner",なく(鳴く),,Hors Genki
vacances d'été,なつやすみ(夏休み),🍂,Hors Genki
"etc, et cetera",など(等),,Hors Genki
"se mettre en rangs, faire la queue, rivaliser, égaler",ならぶ(並ぶ),,Hors Genki
aligner,ならべる(並べる),,Hors Genki
ouest,にし(西),,Hors Genki
langue japonaise,にほんご(日本語),,Hors Genki
jardin,にわ(庭),,Hors Genki
"enlever (des habits), se déshabiller",ぬぐ(脱ぐ),,Hors Genki
cendrier,はいざら(灰皿),,Hors Genki
carte postale,はがき(葉書),,Hors Genki
boite,はこ(箱),,Hors Genki
début,はじめ(初め),,Hors Genki
vingt ans (être âgé de),はたち(二十歳),,Hors Genki
"discours, conversation",はなし(話),🏫,Hors Genki
"s'éclaircir, s'ensoleiller",はれる(晴れる),,Hors Genki
soir,ばん(晩),🕐,Hors Genki
numéro,ばんごう(番号),,Hors Genki
est,ひがし(東),,Hors Genki
rouleau de tissu,ひき(匹),,Hors Genki
"bas, faible (température, rang, degré…)",ひくい(低い),,Hors Genki
un mois,ひとつき(一月),📅,Hors Genki
hiragana (un des syllabaires japonais),ひらがな(平仮名),,Hors Genki
midi,ひる(昼),🕐,Hors Genki
enveloppe,ふうとう(封筒),,Hors Genki
porc,ぶたにく(豚肉),,Hors Genki
"gros, épais",ふとい(太い),,Hors Genki
minute,ふん(分),,Hors Genki
"phrase, style d'écriture, texte",ぶんしょう(文章),,Hors Genki
"côté (d'un triangle par ex.), les alentours",へん(辺),,Hors Genki
"études, travail",べんきょう(勉強),,Hors Genki
chapeau,ぼうし(帽子),,Hors Genki
"divers, autre",ほか(他),,Hors Genki
"désiré, voulu",ほしい(欲しい),,Hors Genki
"fin, ténu",ほそい(細い),,Hors Genki
livre,ほん(本),,Hors Genki
bibliothèque (rangement),ほんだな(本棚),,Hors Genki
"vrai, véritable",ほんとう(本当),,Hors Genki
"vraiment, réellement",ほんとうに(本当に),,Hors Genki
tous les matins,まいあさ(毎朝),🕐,Hors Genki
tous les mois,まいつき(毎月),📅,Hors Genki
tous les ans,まいとし・まい(毎年・毎年),,Hors Genki
"tourner, se courber, se plier",まがる(曲がる),,Hors Genki
"peu appétissant, sans goût",まずい(不味い),,Hors Genki
encore,また(復),,Hors Genki
"pas encore (+négatif), encore (+positif)",まだ・いまだ(未だ),,Hors Genki
"droit devant, en face",まっすぐ(真っ直ぐ),,Hors Genki
"rond, circulaire",まるい(丸い),,Hors Genki
dix-mille,まん(万),,Hors Genki
stylo-plume,まんねんひつ(万年筆),,Hors Genki
"polir, nettoyer, faire briller",みがく(磨く),,Hors Genki
"montrer, afficher, laisser montrer",みせる(見せる),💴,Hors Genki
chemin,みち(道),,Hors Genki
tout le monde,みなさん(皆さん),,Hors Genki
sud,みなみ(南),,Hors Genki
oreille,みみ(耳),,Hors Genki
de l'autre côté,むこう(向こう),,Hors Genki
plus,もっと,,Hors Genki
"chose, objet",もの(物),,Hors Genki
porte,もん(門),,Hors Genki
"maraîcher, marchand de fruits et légumes",やおや(八百屋),💴,Hors Genki
"fin d'après-midi, crépuscule",ゆうがた(夕方),🕐,Hors Genki
vêtements occidentaux,ようふく(洋服),👕,Hors Genki
"côté (d'un boîte, d'un bâtiment...)",よこ(横),,Hors Genki
appeler,よぶ(呼ぶ),,Hors Genki
nuit,よる・よ(夜),🕐,Hors Genki
"magnifique, splendide, impressionnant",りっぱ(立派),,Hors Genki
étudiant venant de l'étranger,りゅうがくせい(留学生),,Hors Genki
parents (père et mère),りょうしん(両親),👪,Hors Genki
réfrigérateur,れいぞうこ(冷蔵庫),,Hors Genki
exercice,れんしゅう(練習),,Hors Genki
"remettre, livrer, transmettre",わたす(渡す),,Hors Genki
traverser,わたる(渡る),,Hors Genki
salutation,あいさつ(挨拶),,Hors Genki
s'excuser,あやまる(謝る),,Hors Genki
"vivre, exister",いきる(生きる),,Hors Genki
fil,いと(糸),,Hors Genki
"frapper (une personne), battre",うつ(打つ・撃つ),,Hors Genki
"mouvement, exercice",うんどう(運動),⚽,Hors Genki
toît,おくじょう(屋上),,Hors Genki
"dire, parler (poli)",おっしゃる(仰る),,Hors Genki
jouet,おもちゃ・がん(玩具),,Hors Genki
"conférence, réunion, meeting",かいぎ(会議),,Hors Genki
"forme, aspect, apparence",かたち(形),,Hors Genki
"faire des aller-et-retours, faire la navette, fréquenter,",かよう(通う),,Hors Genki
être audible,きこえる(聞こえる),,Hors Genki
train express,きゅうこう(急行),🚆,Hors Genki
comparer,くらべる(比べる),,Hors Genki
absolument pas,けっして(決して),,Hors Genki
"de cette manière, comme cela",こう(斯う),,Hors Genki
fonctionnaire,こうむいん(公務員),,Hors Genki
"petit, détaillé",こまかい(細かい),,Hors Genki
le premier,さいしょ(最初),,Hors Genki
toucher,さわる(触る),💴,Hors Genki
malpoli,しつれい(失礼),,Hors Genki
libre,じゆう(自由),,Hors Genki
roman,しょうせつ(小説),,Hors Genki
"inquiétudes, angoisses",しんぱい(心配),,Hors Genki
"tous, complètement",すっかり,,Hors Genki
"Occident, pays occidentaux",せいよう(西洋 np),,Hors Genki
obtention d'un diplôme,そつぎょう(卒業),,Hors Genki
"comme, tellement",そんなに,,Hors Genki
"demander, se renseigner",たずねる(尋ねる),,Hors Genki
"être suffisant, être assez",たりる(足りる),,Hors Genki
"attraper, capturer",つかまえる(捕まえる),,Hors Genki
emmener,つれる(連れる),,Hors Genki
"de loin, à distance",とおく(遠く),,Hors Genki
"arrêter, stopper",とめる(止める),,Hors Genki
autant que possible,なるべく(成る可く),,Hors Genki
"se ressembler, être similaire",にる(似る),,Hors Genki
"situation, cas",ばあい(場合),,Hors Genki
"hanami, contemplation de la floraison des cerisiers",はなみ(花見),,Hors Genki
extrêmement,ひじょうに(非常に),,Hors Genki
profond,ふかい(深い),,Hors Genki
littérature,ぶんがく(文学),,Hors Genki
"louer, admirer",ほめる(褒める),,Hors Genki
"tel quel, comme, parce que",まま,,Hors Genki
"tout le monde, tout",みな・みんな(皆),,Hors Genki
"dire, raconter (poli)",もうしあげる(申し上げる),,Hors Genki
comme je le pensais,やっぱり・やは,,Hors Genki
préparation,ようい(用意),,Hors Genki
absence (de chez soi),るす(留守),,Hors Genki
